traffic_type,app,split,protocol_id,rtt,rtt_valid,syn_count,fin_count,rst_count,n_dst_ips,n_dst_ports,n_src_ports,conn_per_sec,packet_sizes,iats,directions
metaverse,Zepeto,pretrain,0,0.033888,True,0,0,0,42,4,1770,0.153301,"[459, 2609, 115, 46, 85, 298, 319, 10000, 1809, 459, 459, 459, 459, 459, 459, 459, 459, 459, 459, 2608, 2607, 2608, 2609, 2608, 2609, 2607, 2609, 2607, 2607, 115, 46, 85, 298, 115, 46, 85, 298, 115, 46, 85, 298, 115, 46, 85, 298, 115, 46, 85, 298, 115, 46, 85, 298, 115, 46, 85, 298, 115, 46, 85, 298, 115, 46, 85]","[0.0, 0.033888, 0.068695, 0.000333, 1.9e-05, 0.029292, 0.000594, 0.035728, 0.000284, 0.58256, 0.002639, 0.000368, 0.000184, 0.001953, 0.006454, 0.001514, 0.005104, 0.01233, 0.0003, 0.005315, 0.000485, 0.00459, 0.000453, 0.000541, 0.006415, 0.004632, 0.000417, 0.00509, 0.000546, 0.050141, 0.00075, 0.000555, 0.031166, 0.037694, 0.000679, 0.000407, 0.029757, 0.039962, 0.00149, 0.000424, 0.034854, 0.041914, 0.000315, 3e-05, 0.032245, 0.037778, 0.000323, 2.3e-05, 0.030867, 0.03739, 0.000344, 2.6e-05, 0.037854, 0.030703, 5.8e-05, 2.5e-05, 0.033591, 0.034837, 4.8e-05, 2.2e-05, 0.022492, 0.046327, 0.000686, 0.000359]","[1, -1, 1, 1, 1, -1, 1, -1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 1, 1, -1, 1, 1, 1, -1, 1, 1, 1, -1, 1, 1, 1, -1, 1, 1, 1, -1, 1, 1, 1, -1, 1, 1, 1, -1, 1, 1, 1, -1, 1, 1, 1]"
metaverse,Zepeto,pretrain,0,0.019487,True,1,0,0,42,4,1770,0.153301,"[60, 48, 40, 40, 40, 40, 40, 40, 40]","[0.0, 0.019487, 0.000255, 0.010926, 0.036261, 0.075974, 0.03535, 0.028201, 0.080313]","[1, -1, 1, -1, 1, -1, 1, -1, 1]"
metaverse,Zepeto,downstream_train,0,0.02029,True,1,0,0,42,4,1770,0.153301,"[60, 48, 40, 40, 40, 40, 40, 40, 40, 40, 40]","[0.0, 0.02029, 0.000519, 0.000507, 0.029062, 0.129935, 0.000547, 0.000396, 0.037616, 0.003717, 0.081875]","[1, -1, 1, -1, 1, -1, -1, -1, 1, -1, 1]"
metaverse,Zepeto,pretrain,0,0.02786,True,1,0,0,42,4,1770,0.153301,"[60, 48, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40]","[0.0, 0.02786, 0.000373, 0.001524, 0.04281, 0.079632, 0.000643, 0.000401, 0.031771, 0.038015, 0.063901, 0.004916, 0.006208, 0.000871, 0.001989, 0.017017, 0.037184]","[1, -1, 1, -1, 1, -1, -1, -1, 1, -1, 1, 1, 1, 1, 1, 1, 1]"
metaverse,Zepeto,pretrain,0,0.02466,True,1,0,0,42,4,1770,0.153301,"[60, 48, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 1536, 40, 40, 976, 40, 40, 40, 40, 40]","[0.0, 0.02466, 0.002687, 0.002101, 0.03343, 0.126675, 8.5e-05, 0.001768, 0.028554, 0.002962, 0.043791, 0.001899, 0.000751, 0.000409, 0.000218, 0.000142, 0.039163, 7e-05, 0.010442, 0.000931, 0.000519, 0.00316, 0.002066]","[1, -1, 1, -1, 1, -1, -1, -1, 1, -1, 1, 1, 1, 1, -1, 1, 1, -1, 1, 1, 1, 1, 1]"
metaverse,Zepeto,test,0,0.031669,True,0,0,0,42,4,1770,0.153301,"[459, 2607, 115, 46, 85, 298, 319, 2272, 10000, 10000, 6466, 4414, 5647, 71, 459, 459, 459, 459, 459, 459, 459, 459, 459, 2609, 2607, 2607, 2608, 2607, 2608, 2609, 2607, 2608, 115, 46, 85, 298, 115, 46, 85, 298, 115, 46, 85, 298, 115, 46, 85, 298, 115, 46, 85, 298, 115, 46, 85, 298, 115, 46, 85, 298, 115, 46, 85, 298]","[0.0, 0.031669, 0.069628, 4e-05, 1.4e-05, 0.029124, 0.000748, 0.03676, 0.000786, 0.000423, 0.000167, 0.004527, 0.000285, 0.001228, 20.137563, 0.000612, 0.000301, 6.9e-05, 0.000997, 0.001559, 0.006682, 0.00896, 0.01298, 0.003664, 0.000417, 0.000362, 0.000276, 0.000234, 0.000232, 0.008791, 0.000506, 0.028474, 0.043912, 0.000197, 2e-05, 0.027486, 0.05223, 0.001615, 0.000168, 0.020854, 0.047414, 0.000285, 2.1e-05, 0.038757, 0.029588, 0.000312, 1.8e-05, 0.023302, 0.04586, 4.1e-05, 1.6e-05, 0.022375, 0.049142, 0.00032, 1.8e-05, 0.029452, 0.038062, 0.000351, 2.1e-05, 0.023783, 0.045347, 0.001422, 3.1e-05, 0.031752]","[1, -1, 1, 1, 1, -1, 1, -1, -1, -1, -1, -1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 1, 1, -1, 1, 1, 1, -1, 1, 1, 1, -1, 1, 1, 1, -1, 1, 1, 1, -1, 1, 1, 1, -1, 1, 1, 1, -1, 1, 1, 1, -1]"
metaverse,Zepeto,pretrain,0,0.058524,True,1,0,0,42,4,1770,0.153301,"[60, 48, 40, 40, 40, 40, 40, 40, 40]","[0.0, 0.058524, 0.000271, 0.001406, 0.037045, 0.081797, 0.027476, 0.540247, 0.055848]","[1, -1, 1, -1, 1, -1, 1, -1, 1]"
metaverse,Zepeto,downstream_train,0,0.026547,True,1,0,0,42,4,1770,0.153301,"[60, 48, 40, 40, 40, 40, 40, 40, 40]","[0.0, 0.026547, 8.4e-05, 0.002952, 0.03444, 0.370818, 0.022369, 0.260112, 0.053159]","[1, -1, 1, -1, 1, -1, 1, -1, 1]"
metaverse,Zepeto,pretrain,0,0.031471,True,1,0,0,42,4,1770,0.153301,"[60, 48, 40, 40, 40, 40, 40, 40, 40, 40]","[0.0, 0.031471, 0.000112, 0.002768, 0.035703, 0.300195, 0.000203, 0.023461, 0.326319, 0.055179]","[1, -1, 1, -1, 1, -1, -1, 1, -1, 1]"
metaverse,Zepeto,pretrain,0,0.024512,True,1,0,0,42,4,1770,0.153301,"[60, 48, 40, 40, 40, 40, 40, 40, 40, 40]","[0.0, 0.024512, 0.00095, 0.00037, 0.03655, 0.499806, 0.000233, 0.023892, 0.119229, 0.052925]","[1, -1, 1, -1, 1, -1, -1, 1, -1, 1]"
metaverse,Zepeto,downstream_train,0,0.027669,True,1,0,0,42,4,1770,0.153301,"[60, 48, 40, 40, 40, 40, 40, 40, 40, 40]","[0.0, 0.027669, 0.00026, 0.000943, 0.027369, 0.570219, 0.000407, 0.031949, 0.040658, 0.052855]","[1, -1, 1, -1, 1, -1, -1, 1, -1, 1]"
metaverse,Zepeto,pretrain,0,0.034308,True,1,0,0,42,4,1770,0.153301,"[60, 48, 40, 40, 40, 40, 40, 40, 40, 40]","[0.0, 0.034308, 0.000254, 0.002237, 0.043382, 0.610741, 0.000213, 0.036015, 0.0134, 0.079871]","[1, -1, 1, -1, 1, -1, -1, 1, -1, 1]"
metaverse,Zepeto,pretrain,0,0.033097,True,1,0,0,42,4,1770,0.153301,"[60, 48, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40]","[0.0, 0.033097, 0.000412, 0.001102, 0.045468, 0.414963, 0.000445, 0.000264, 0.024648, 0.216813, 0.060449, 0.002269, 0.017283, 0.001246, 0.001835, 0.001807, 0.00129, 0.001732, 0.000943]","[1, -1, 1, -1, 1, -1, -1, -1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
metaverse,Zepeto,pretrain,0,0.028675,True,1,0,0,42,4,1770,0.153301,"[60, 48, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 712, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 10000, 40, 40, 40, 4294, 40, 40, 10000, 40, 40, 40, 40]","[0.0, 0.028675, 0.000202, 0.001248, 0.045309, 0.485783, 0.000647, 0.000372, 0.030731, 0.139676, 0.060377, 0.002248, 0.000311, 0.016982, 0.001246, 0.001835, 0.001808, 0.001289, 0.001732, 0.000943, 0.074547, 0.006461, 0.000461, 0.001064, 0.000459, 0.00024, 0.000209, 0.04001, 0.006198, 0.001, 0.000954, 0.001009, 0.000943, 0.000782, 0.00073, 0.008537, 0.001063, 0.00044, 0.000363, 0.000637, 0.000678, 0.00017, 4.6e-05, 9.6e-05, 0.031101, 0.000238, 0.000165, 0.000435, 0.000392, 0.00025]","[1, -1, 1, -1, 1, -1, -1, -1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -1, 1, 1, 1, -1, 1, 1, -1, 1, 1, 1, 1]"
